sale_id,associate_id,region,date,product_sold,number_of_units,sale_amount
1000034,54,Western India,2020/08/03,Camera,1,5000
1000035,20,North India,2019/01/26,Apple IPOD,3,15000
1000036,78,South India,2020/03/01,Digital Camera,1,25000
1000037,61,Western India,2020/07/09,Projector,10,524000
1000038,10,Central India,2019/09/07,Blue-Ray Player,6,30000
1000039,83,North India,2019/06/15,Apple IPOD,4,250000
1000040,68,South India,2020/12/17,Blue-Ray Player,3,75000
1000041,62,Northeast India,2020/11/05,LCD TV,2,10000
1000042,17,Northeast India,2020/01/31,Projector,8,152000
1000043,78,Northeast India,2019/11/15,Projector,7,35000
1000044,46,Northeast India,2020/04/08,Apple IPAD,7,245000
1000045,60,North India,2019/12/26,Camera,5,95000
1000046,66,Northeast India,2019/01/09,Camera,10,222290
1000047,34,Northeast India,2020/04/16,Apple IPhone,5,125000
1000048,20,North India,2020/10/21,Apple IPAD,7,35000
1000049,21,Western India,2019/07/23,LCD Monitor,4,250000
1000050,46,Western India,2020/01/31,Projector,3,75000
1000051,77,North India,2019/10/03,Blue-Ray Player,2,38000
1000052,25,North India,2020/08/17,Digital Camera,3,105000
1000053,8,Northeast India,2020/11/12,LCD TV,2,10000
1000054,67,North India,2020/08/03,Camera,11,209000
1000055,78,Central India,2020/12/01,Blue-Ray Player,10,524000
1000056,77,Northeast India,2019/12/16,Apple IPOD,8,40000
1000057,65,Northeast India,2019/01/27,Apple IPAD,5,262000
1000058,38,South India,2019/03/26,LCD Monitor,4,140000
1000059,39,South India,2019/05/18,Blue-Ray Player,7,437500
1000060,18,Northeast India,2020/07/21,Apple IPAD,7,35000
1000061,66,East India,2019/03/11,Blue-Ray Player,4,72000
1000062,82,Northeast India,2020/06/10,LCD TV,4,88916
1000063,31,East India,2020/09/14,Digital Camera,6,150000
1000064,10,Northeast India,2019/04/28,Projector,5,25000
1000065,47,Northeast India,2019/11/21,LCD Monitor,12,60000
1000066,20,East India,2020/03/20,Apple IPhone,2,38000
1000067,15,Northeast India,2020/02/01,Digital Camera,10,524000
1000068,28,East India,2020/05/09,Apple IPOD,4,250000
1000069,95,Northeast India,2019/04/16,Apple IPAD,4,76000
1000070,18,South India,2020/02/07,LCD TV,10,190000
1000071,90,Western India,2019/12/21,LCD TV,4,140000
1000072,9,North India,2020/02/12,Apple IPOD,8,280000
1000073,23,Central India,2020/10/25,LCD Monitor,6,314400
1000074,53,East India,2019/02/08,LCD Monitor,4,20000
1000075,48,Central India,2019/02/01,Apple IPAD,3,105000
1000076,73,East India,2019/02/17,Apple IPhone,6,314400
1000077,8,Central India,2019/09/14,Apple IPhone,8,177832
1000078,72,Western India,2020/10/15,Digital Camera,12,628800
1000079,60,South India,2020/11/30,Apple IPOD,10,50000
1000080,45,South India,2019/05/20,Blue-Ray Player,10,50000
1000081,49,Northeast India,2019/11/09,Apple IPAD,9,315000
1000082,50,South India,2020/08/03,Apple IPAD,6,150000
1000083,15,Central India,2020/04/27,Camera,11,244519
1000084,8,North India,2019/05/11,Digital Camera,10,350000
1000085,58,South India,2020/10/07,Apple IPAD,3,57000
1000086,12,East India,2019/12/28,Digital Camera,3,187500
1000087,81,South India,2019/05/13,LCD TV,2,50000
1000088,99,North India,2020/02/06,Apple IPAD,10,222290
1000089,35,Northeast India,2020/08/06,Apple IPAD,5,262000
1000090,97,Central India,2019/01/21,LCD TV,1,18000
1000091,60,Western India,2020/09/24,Projector,12,420000
1000092,33,Northeast India,2019/02/09,Camera,12,750000
1000093,14,North India,2020/10/02,Projector,7,437500
1000094,69,Northeast India,2020/05/31,LCD Monitor,3,66687
1000095,73,South India,2020/08/02,Apple IPhone,4,20000
1000096,99,East India,2019/01/26,Apple IPhone,7,126000
1000097,47,East India,2019/03/28,Apple IPOD,10,50000
1000098,14,Central India,2019/01/06,Apple IPAD,1,18000
1000099,84,North India,2019/10/18,LCD Monitor,5,262000
1000100,99,Northeast India,2019/03/18,Apple IPAD,4,20000
1000101,13,East India,2020/05/27,Apple IPhone,4,100000
1000102,37,South India,2020/10/23,LCD TV,12,60000
1000103,64,East India,2020/06/05,Apple IPAD,3,105000
1000104,13,North India,2020/09/09,LCD TV,12,628800
1000105,81,East India,2019/10/02,Blue-Ray Player,4,20000
1000106,29,North India,2019/04/03,Apple IPOD,4,140000
1000107,58,Northeast India,2020/03/12,Apple IPOD,5,262000
1000108,3,North India,2019/12/06,Apple IPOD,10,50000
1000109,18,Western India,2019/04/07,Apple IPOD,7,155603
1000110,63,East India,2019/05/02,Digital Camera,1,25000
1000111,56,Western India,2019/08/30,Digital Camera,12,750000
1000112,66,North India,2019/03/20,Digital Camera,7,366800
1000113,55,East India,2019/01/01,Apple IPAD,2,36000
1000114,62,North India,2020/01/18,Apple IPAD,7,155603
1000115,92,North India,2019/08/07,Apple IPhone,5,90000
1000116,15,East India,2020/04/01,Projector,4,250000
1000117,90,Central India,2019/04/11,Apple IPOD,9,471600
1000118,13,Western India,2019/12/31,LCD TV,11,385000
1000119,96,Central India,2019/04/07,Digital Camera,1,5000
1000120,58,Western India,2020/08/23,Digital Camera,12,60000
1000121,44,Central India,2020/02/23,Apple IPAD,11,687500
1000122,58,North India,2019/01/06,LCD Monitor,6,150000
1000123,45,Central India,2020/07/03,LCD TV,2,50000
1000124,3,East India,2020/01/27,Projector,6,210000
1000125,53,South India,2019/12/17,Blue-Ray Player,7,133000
1000126,98,North India,2019/05/05,Apple IPOD,3,15000
1000127,34,Western India,2019/01/20,Projector,4,209600
1000128,88,Northeast India,2019/02/25,Camera,6,108000
1000129,55,North India,2019/08/18,LCD Monitor,8,200000
1000130,74,Northeast India,2020/08/10,LCD TV,12,60000
1000131,37,Central India,2020/10/10,LCD Monitor,8,40000
1000132,48,South India,2020/09/03,Apple IPAD,4,250000
1000133,16,Northeast India,2020/06/12,Digital Camera,10,350000
1000134,50,East India,2019/01/14,Apple IPhone,3,157200
1000135,37,Western India,2020/03/27,Digital Camera,11,198000
1000136,64,Northeast India,2019/01/24,LCD TV,3,15000
1000137,76,Northeast India,2019/12/09,Apple IPOD,9,200061
1000138,15,Western India,2020/06/22,Blue-Ray Player,5,125000
1000139,47,East India,2020/12/29,Apple IPOD,6,210000
1000140,69,Northeast India,2019/08/19,Apple IPAD,5,95000
1000141,51,Northeast India,2020/03/30,Camera,10,524000
1000142,65,Northeast India,2019/03/02,Apple IPhone,12,420000
1000143,44,Central India,2020/01/27,LCD TV,11,687500
1000144,29,South India,2019/04/26,Digital Camera,7,35000
1000145,9,North India,2020/02/21,Camera,5,175000
1000146,19,South India,2019/07/31,Blue-Ray Player,12,300000
1000147,21,Western India,2020/03/11,LCD TV,7,366800
1000148,60,Northeast India,2019/12/24,Apple IPhone,8,280000
1000149,44,Central India,2019/05/14,Apple IPAD,4,20000
1000150,50,North India,2020/05/28,Blue-Ray Player,7,133000
1000151,54,Northeast India,2019/05/07,Apple IPOD,2,125000
1000152,64,North India,2020/07/28,Digital Camera,6,314400
1000153,29,North India,2019/04/20,Apple IPAD,3,54000
1000154,51,North India,2019/08/05,Camera,6,210000
1000155,100,North India,2019/09/05,Blue-Ray Player,1,5000
1000156,30,North India,2019/09/10,Apple IPAD,8,40000
1000157,87,North India,2020/01/17,LCD TV,10,190000
1000158,36,South India,2020/04/15,Camera,3,15000
1000159,67,North India,2020/04/20,Apple IPAD,6,114000
1000160,16,Western India,2019/03/24,Projector,12,628800
1000161,40,Northeast India,2019/09/27,Apple IPhone,5,175000
1000162,23,East India,2020/12/19,Digital Camera,12,216000
1000163,75,Western India,2020/01/22,Camera,1,5000
1000164,41,East India,2019/05/20,LCD TV,6,30000
1000165,32,North India,2020/11/26,Apple IPAD,3,15000
1000166,50,Northeast India,2020/07/26,Apple IPAD,7,35000
1000167,100,East India,2020/09/06,Projector,3,57000
1000168,11,Central India,2019/08/20,Digital Camera,2,50000
1000169,47,Central India,2020/11/20,Digital Camera,7,35000
1000170,90,Central India,2019/06/15,LCD TV,2,50000
1000171,54,Western India,2019/03/16,Apple IPhone,4,88916
1000172,63,East India,2019/01/10,Blue-Ray Player,8,280000
1000173,78,Northeast India,2020/03/18,Apple IPhone,8,177832
1000174,97,Western India,2020/07/11,Projector,12,228000
1000175,75,South India,2020/10/29,Camera,10,524000
1000176,48,North India,2019/10/31,Blue-Ray Player,11,385000
1000177,19,Northeast India,2020/10/30,Blue-Ray Player,5,262000
1000178,87,East India,2019/05/02,LCD TV,3,54000
1000179,77,Northeast India,2019/03/08,Apple IPhone,8,152000
1000180,100,Western India,2019/01/19,Projector,6,210000
1000181,52,North India,2019/07/03,Camera,11,385000
1000182,48,North India,2019/05/30,Apple IPOD,6,314400
1000183,28,Western India,2019/08/19,Apple IPhone,3,105000
1000184,37,Central India,2020/04/14,Apple IPOD,10,50000
1000185,86,North India,2019/04/14,Blue-Ray Player,3,57000
1000186,3,Northeast India,2019/03/14,LCD Monitor,1,25000
1000187,77,Northeast India,2020/05/08,Apple IPhone,3,187500
1000188,60,Western India,2020/09/19,Projector,5,262000
1000189,75,North India,2019/01/25,Apple IPAD,11,687500
1000190,18,Northeast India,2019/06/19,Apple IPOD,1,35000
1000191,59,East India,2019/05/18,LCD TV,10,250000
1000192,44,Central India,2020/07/05,Projector,4,209600
1000193,1,Central India,2020/06/07,Apple IPOD,7,126000
1000194,10,Northeast India,2020/06/16,LCD TV,5,312500
1000195,55,North India,2019/12/13,Digital Camera,6,375000
1000196,30,East India,2019/09/10,Projector,8,40000
1000197,48,Northeast India,2020/04/23,Camera,2,44458
1000198,85,Western India,2020/10/18,Camera,3,15000
1000199,93,South India,2020/05/13,Apple IPAD,7,133000
1000200,45,Central India,2019/07/03,Blue-Ray Player,4,250000
1000201,6,North India,2019/05/24,Apple IPAD,8,144000
1000202,3,North India,2019/04/09,Camera,11,687500
1000203,12,North India,2019/09/01,Apple IPAD,9,162000
1000204,41,Northeast India,2020/10/19,LCD TV,7,133000
1000205,16,South India,2020/02/19,Apple IPAD,9,171000
1000206,92,Western India,2019/05/22,Camera,9,471600
1000207,2,Western India,2020/06/10,Apple IPOD,5,175000
1000208,24,Western India,2020/05/28,Blue-Ray Player,11,244519
1000209,27,Western India,2020/11/29,Apple IPOD,7,437500
1000210,13,South India,2019/02/14,Projector,10,222290
1000211,70,Western India,2019/05/17,LCD Monitor,10,50000
1000212,88,Central India,2020/06/18,Digital Camera,11,576400
1000213,62,Northeast India,2019/11/04,Apple IPOD,4,140000
1000214,94,Western India,2019/03/13,Apple IPOD,2,104800
1000215,23,Central India,2019/02/14,Apple IPhone,5,25000
1000216,1,Central India,2019/07/16,Apple IPhone,1,35000
1000217,81,Central India,2019/05/31,Camera,3,66687
1000218,41,Central India,2019/06/09,Blue-Ray Player,9,45000
1000219,21,Central India,2019/09/03,LCD TV,12,420000
1000220,3,North India,2019/03/20,Apple IPAD,6,108000
1000221,2,Central India,2019/07/01,Apple IPOD,6,210000
1000222,51,Northeast India,2019/02/05,LCD Monitor,12,216000
1000223,8,North India,2020/12/19,Apple IPhone,2,36000
1000224,43,North India,2020/10/21,LCD TV,2,125000
1000225,31,North India,2020/04/17,Apple IPAD,3,75000
1000226,70,Central India,2019/09/07,LCD TV,1,18000
1000227,21,Central India,2020/09/28,LCD Monitor,1,5000
1000228,41,South India,2020/07/10,Blue-Ray Player,8,40000
1000229,91,South India,2019/08/17,Apple IPOD,10,50000
1000230,75,Western India,2019/10/02,Apple IPhone,10,625000
1000231,53,North India,2019/12/31,LCD TV,5,125000
1000232,38,North India,2020/07/09,Projector,11,385000
1000233,65,South India,2019/12/29,Apple IPhone,5,95000
1000234,37,Central India,2019/03/12,LCD TV,1,35000
1000235,13,North India,2020/04/13,LCD TV,8,152000
1000236,4,Western India,2019/08/26,Blue-Ray Player,4,88916
1000237,53,Central India,2020/08/28,Apple IPhone,7,133000
1000238,86,Central India,2019/02/13,Camera,10,250000
1000239,10,Central India,2019/08/10,Digital Camera,6,210000
1000240,29,Western India,2019/08/04,Apple IPOD,5,125000
1000241,7,East India,2019/04/29,Blue-Ray Player,1,5000
1000242,45,North India,2019/10/16,Apple IPOD,7,437500
1000243,51,Western India,2020/04/19,LCD Monitor,3,187500
1000244,98,Northeast India,2020/05/09,Apple IPOD,7,35000
1000245,3,Western India,2020/01/20,Apple IPhone,10,250000
1000246,2,Western India,2020/06/26,Apple IPAD,6,108000
1000247,78,North India,2019/11/26,Digital Camera,8,40000
1000248,6,North India,2019/04/19,Apple IPOD,8,280000
1000249,74,North India,2019/07/30,Apple IPAD,6,30000
1000250,99,Northeast India,2019/04/07,LCD TV,12,420000
1000251,5,Western India,2019/06/07,Blue-Ray Player,11,209000
1000252,23,South India,2019/11/15,Camera,7,35000
1000253,42,Western India,2019/10/02,Blue-Ray Player,6,30000
1000254,4,South India,2019/05/08,Digital Camera,12,266748
1000255,97,Western India,2020/04/28,Blue-Ray Player,11,687500
1000256,1,North India,2019/03/12,Blue-Ray Player,12,750000
1000257,1,Central India,2020/05/31,Camera,10,50000
1000258,68,Northeast India,2020/06/06,Projector,8,144000
1000259,7,Western India,2019/05/21,Apple IPAD,3,105000
1000260,73,East India,2020/06/02,Blue-Ray Player,7,366800
1000261,82,Central India,2020/02/15,LCD TV,7,175000
1000262,88,East India,2019/07/29,Apple IPAD,9,225000
1000263,86,East India,2020/02/02,Apple IPhone,2,10000
1000264,69,Central India,2019/06/15,Digital Camera,5,262000
1000265,39,East India,2020/11/09,Apple IPhone,2,70000
1000266,62,Central India,2019/05/27,Apple IPOD,7,35000
1000267,62,South India,2019/02/28,LCD Monitor,11,209000
1000268,54,Central India,2019/05/25,Apple IPhone,3,54000
1000269,46,Central India,2020/06/03,Apple IPOD,2,38000
1000270,98,South India,2020/02/05,Camera,6,133374
1000271,23,Northeast India,2020/05/03,Projector,4,209600
1000272,79,Western India,2019/04/25,Projector,1,5000
1000273,91,Western India,2020/09/25,Projector,2,44458
1000274,73,South India,2019/12/24,Digital Camera,4,140000
1000275,78,East India,2019/10/09,Blue-Ray Player,8,144000
1000276,26,North India,2019/08/26,Apple IPAD,8,40000
1000277,76,Northeast India,2020/04/29,Apple IPOD,4,76000
1000278,20,Northeast India,2020/07/31,Blue-Ray Player,4,20000
1000279,49,East India,2019/07/02,Apple IPhone,3,15000
1000280,36,Western India,2019/01/11,Apple IPhone,11,244519
1000281,65,Western India,2020/06/10,Camera,3,75000
1000282,56,North India,2020/01/24,Apple IPOD,1,5000
1000283,76,South India,2019/04/15,Projector,1,25000
1000284,48,South India,2020/06/21,Apple IPAD,4,140000
1000285,17,South India,2019/08/21,Digital Camera,8,40000
1000286,9,Northeast India,2019/12/04,Digital Camera,2,125000
1000287,23,South India,2019/01/15,LCD TV,11,687500
1000288,96,South India,2019/12/01,Projector,9,315000
1000289,1,Northeast India,2019/01/06,Apple IPAD,9,45000
1000290,98,North India,2020/09/08,Apple IPAD,10,190000
1000291,23,Northeast India,2020/06/10,LCD Monitor,12,60000
1000292,28,South India,2020/02/24,Apple IPAD,11,687500
1000293,2,East India,2020/06/29,Apple IPhone,12,750000
1000294,60,Central India,2020/12/11,LCD Monitor,3,54000
1000295,61,East India,2019/09/15,LCD Monitor,11,198000
1000296,22,East India,2020/01/10,Camera,8,40000
1000297,80,Western India,2019/10/23,LCD TV,9,162000
1000298,3,Central India,2019/09/13,Camera,10,625000
1000299,82,Central India,2020/06/26,Camera,3,15000
1000300,35,Northeast India,2020/03/02,LCD Monitor,11,576400
1000301,81,South India,2020/02/20,Apple IPAD,1,5000
1000302,4,Northeast India,2020/04/19,Camera,11,687500
1000303,99,Western India,2019/08/28,LCD TV,11,244519
1000304,45,Western India,2019/12/10,LCD Monitor,10,50000
1000305,86,South India,2020/08/14,Camera,3,57000
1000306,23,South India,2020/02/06,Projector,12,228000
1000307,45,East India,2020/11/10,Apple IPAD,6,210000
1000308,87,Western India,2020/12/02,LCD TV,9,315000
1000309,52,North India,2019/06/05,Blue-Ray Player,1,25000
1000310,16,Central India,2020/12/26,Apple IPOD,3,15000
1000311,1,Central India,2019/09/03,Digital Camera,8,177832
1000312,83,North India,2019/02/24,Projector,11,55000
1000313,68,South India,2019/06/18,Blue-Ray Player,10,524000
1000314,34,North India,2019/06/02,LCD TV,9,315000
1000315,36,South India,2019/12/19,Camera,1,22229
1000316,2,South India,2020/12/29,LCD Monitor,3,66687
1000317,48,North India,2019/07/26,Camera,10,524000
1000318,65,East India,2019/02/19,Blue-Ray Player,1,35000
1000319,51,East India,2019/07/22,Blue-Ray Player,6,133374
1000320,95,Northeast India,2020/07/20,Apple IPhone,10,625000
1000321,50,Western India,2019/09/14,Camera,10,180000
1000322,74,South India,2020/03/13,Apple IPOD,1,18000
1000323,32,Western India,2020/03/07,Apple IPOD,7,133000
1000324,97,North India,2020/01/10,Apple IPhone,11,244519
1000325,16,North India,2019/07/01,LCD TV,6,133374
1000326,22,South India,2019/06/24,LCD TV,2,10000
1000327,93,Northeast India,2020/03/25,Apple IPAD,4,20000
1000328,99,Northeast India,2019/12/23,Apple IPAD,6,375000
1000329,100,Central India,2020/05/30,Apple IPhone,8,152000
1000330,62,Northeast India,2020/02/05,Apple IPOD,5,125000
1000331,70,Western India,2019/04/30,Apple IPAD,8,500000
1000332,41,South India,2019/05/22,Digital Camera,7,437500
1000333,46,East India,2020/07/23,Camera,11,576400
1000334,12,Northeast India,2019/06/20,Apple IPOD,1,52400
1000335,87,South India,2020/02/06,Camera,9,200061
1000336,87,Central India,2020/09/05,Apple IPOD,12,60000
1000337,40,South India,2020/09/04,Apple IPAD,4,88916
1000338,11,East India,2019/09/06,LCD TV,1,25000
1000339,23,North India,2019/08/15,LCD Monitor,4,140000
1000340,31,East India,2020/09/29,Projector,10,250000
1000341,36,Northeast India,2020/12/02,LCD Monitor,7,35000
1000342,27,Central India,2019/12/19,Apple IPAD,6,210000
1000343,9,Western India,2020/05/10,LCD Monitor,2,125000
1000344,24,South India,2019/05/02,Apple IPhone,5,111145
1000345,40,East India,2019/12/08,Apple IPAD,2,104800
1000346,57,Western India,2020/08/20,Projector,1,22229
1000347,36,South India,2020/04/29,LCD TV,2,50000
1000348,76,South India,2020/08/26,LCD Monitor,4,76000
1000349,58,Central India,2019/09/02,Digital Camera,8,280000
1000350,94,East India,2020/11/28,Digital Camera,9,45000
1000351,76,Western India,2020/01/09,Digital Camera,10,625000
1000352,53,East India,2020/07/01,Blue-Ray Player,2,38000
1000353,98,North India,2019/07/20,Digital Camera,3,66687
1000354,11,Western India,2020/02/18,Camera,8,152000
1000355,62,Northeast India,2019/12/27,LCD Monitor,1,22229
1000356,92,Central India,2019/07/23,Apple IPhone,10,222290
1000357,37,Northeast India,2020/08/12,LCD Monitor,12,216000
1000358,61,South India,2020/04/05,Apple IPAD,8,177832
1000359,58,South India,2020/12/16,Projector,2,125000
1000360,90,East India,2020/02/24,Camera,9,171000
1000361,71,North India,2020/12/06,Projector,10,180000
1000362,22,Western India,2020/01/04,Blue-Ray Player,11,198000
1000363,9,North India,2019/09/30,Apple IPhone,10,50000
1000364,12,East India,2019/08/03,Apple IPhone,12,60000
1000365,30,Western India,2019/11/11,Apple IPOD,3,187500
1000366,13,Western India,2020/11/29,LCD TV,2,104800
1000367,24,Western India,2019/08/15,LCD Monitor,7,133000
1000368,85,East India,2020/09/25,LCD Monitor,5,90000
1000369,40,Western India,2019/05/15,LCD Monitor,4,88916
1000370,40,South India,2020/05/26,Digital Camera,1,62500
1000371,25,South India,2019/09/10,Blue-Ray Player,2,10000
1000372,30,East India,2019/11/27,Digital Camera,3,57000
1000373,94,South India,2020/11/23,Apple IPAD,2,10000
1000374,34,Central India,2020/09/25,Projector,5,312500
1000375,52,East India,2019/03/02,LCD Monitor,2,70000
1000376,1,Northeast India,2020/06/26,Apple IPAD,6,30000
1000377,17,North India,2020/09/05,Apple IPhone,8,40000
1000378,55,South India,2020/03/23,Apple IPOD,5,312500
1000379,54,South India,2019/04/03,Apple IPhone,3,15000
1000380,19,South India,2019/02/18,LCD Monitor,4,209600
1000381,38,Central India,2019/08/22,LCD Monitor,7,126000
1000382,31,Central India,2019/05/27,LCD TV,5,25000
1000383,6,Northeast India,2020/11/15,Camera,2,38000
1000384,28,Western India,2019/09/06,Projector,8,500000
1000385,16,Western India,2020/07/25,Apple IPhone,5,312500
1000386,82,Central India,2019/03/05,LCD TV,5,25000
1000387,39,Northeast India,2020/06/08,Digital Camera,7,35000
1000388,69,Central India,2019/06/17,Apple IPOD,12,628800
1000389,50,Central India,2020/08/04,Apple IPOD,7,126000
1000390,66,Western India,2020/07/21,LCD TV,4,100000
1000391,22,North India,2020/10/11,Projector,2,36000
1000392,17,Western India,2019/04/09,Apple IPAD,12,216000
1000393,12,North India,2020/10/13,Projector,1,35000
1000394,27,Central India,2020/10/18,LCD Monitor,3,187500
1000395,9,South India,2019/06/21,Apple IPAD,10,250000
1000396,25,Northeast India,2020/05/29,Apple IPOD,9,562500
1000397,16,East India,2020/05/26,LCD TV,2,38000
1000398,33,Central India,2019/09/25,Apple IPAD,2,10000
1000399,21,Western India,2019/10/26,Camera,6,210000
1000400,26,Central India,2020/05/31,Blue-Ray Player,12,750000
1000401,68,Northeast India,2019/09/10,Digital Camera,2,125000
1000402,60,Northeast India,2020/06/02,Camera,1,35000
1000403,80,Northeast India,2019/04/22,Blue-Ray Player,2,70000
1000404,55,Western India,2020/10/12,Camera,12,300000
1000405,66,Central India,2020/09/18,Apple IPOD,8,419200
1000406,82,South India,2019/03/09,Apple IPAD,6,210000
1000407,47,Northeast India,2020/06/04,Apple IPAD,5,25000
1000408,77,South India,2020/02/24,LCD TV,5,312500
1000409,43,Central India,2020/01/09,Apple IPhone,12,300000
1000410,44,South India,2020/02/09,LCD Monitor,7,126000
1000411,13,Central India,2020/05/02,Blue-Ray Player,12,216000
1000412,2,Northeast India,2020/03/14,Apple IPAD,11,576400
1000413,56,Western India,2019/08/11,Apple IPAD,12,266748
1000414,21,East India,2020/09/21,LCD TV,9,315000
1000415,36,Central India,2020/10/31,LCD TV,2,50000
1000416,68,East India,2019/05/15,Apple IPAD,7,35000
1000417,28,North India,2020/02/21,LCD TV,9,45000
1000418,60,Western India,2019/07/17,LCD Monitor,6,314400
1000419,61,East India,2019/07/04,Blue-Ray Player,9,200061
1000420,71,South India,2020/10/03,Apple IPOD,6,150000
1000421,33,North India,2020/09/10,Projector,3,75000
1000422,36,Northeast India,2020/02/20,Apple IPOD,1,25000
1000423,54,South India,2020/11/17,Blue-Ray Player,3,15000
1000424,85,East India,2019/04/25,Apple IPAD,6,114000
1000425,88,Central India,2019/01/31,Apple IPAD,6,375000
1000426,48,North India,2019/12/05,LCD Monitor,4,72000
1000427,6,Western India,2019/01/19,Projector,12,216000
1000428,92,Central India,2020/03/25,Apple IPhone,7,35000
1000429,32,South India,2019/08/30,Apple IPhone,11,55000
1000430,74,North India,2020/10/21,Blue-Ray Player,5,111145
1000431,28,Western India,2019/02/26,LCD TV,1,19000
1000432,16,North India,2019/08/12,Camera,3,75000
1000433,93,Western India,2019/06/26,Apple IPhone,5,175000
1000434,90,Western India,2020/11/18,Apple IPAD,4,209600
1000435,47,Western India,2019/05/20,Blue-Ray Player,11,275000
1000436,21,South India,2020/10/28,Blue-Ray Player,1,35000
1000437,8,Western India,2019/11/04,Digital Camera,5,175000
1000438,63,Central India,2019/12/13,Apple IPOD,4,209600
1000439,16,Central India,2019/03/02,Blue-Ray Player,8,419200
1000440,66,Central India,2020/07/24,Apple IPAD,3,157200
1000441,91,Northeast India,2020/10/17,LCD TV,6,133374
1000442,20,Western India,2019/08/06,Blue-Ray Player,4,100000
1000443,34,Western India,2020/01/26,Camera,4,100000
1000444,38,East India,2020/10/03,Blue-Ray Player,10,250000
1000445,29,North India,2020/03/28,Apple IPhone,3,157200
1000446,73,East India,2020/12/01,Apple IPhone,12,750000
1000447,86,Western India,2020/11/18,LCD Monitor,6,108000
1000448,1,North India,2019/08/13,Digital Camera,4,209600
1000449,26,North India,2020/07/12,Projector,8,500000
1000450,29,North India,2019/11/20,Blue-Ray Player,8,152000
1000451,8,East India,2019/05/01,Blue-Ray Player,12,628800
1000452,7,East India,2020/04/10,Blue-Ray Player,10,350000
1000453,69,Western India,2020/11/13,Blue-Ray Player,6,108000
1000454,51,East India,2020/01/18,Apple IPhone,3,187500
1000455,24,Northeast India,2019/05/23,LCD Monitor,2,36000
1000456,98,East India,2019/10/03,Apple IPhone,10,625000
1000457,34,East India,2020/06/02,Projector,10,190000
1000458,26,North India,2020/10/25,Apple IPhone,3,187500
1000459,73,Northeast India,2020/02/03,LCD Monitor,8,200000
1000460,87,East India,2020/12/15,LCD Monitor,4,100000
1000461,3,South India,2019/08/20,Apple IPAD,5,175000
1000462,24,Western India,2020/05/24,Digital Camera,2,70000
1000463,21,North India,2019/07/08,LCD Monitor,12,750000
1000464,36,Western India,2020/02/23,Apple IPhone,11,385000
1000465,2,South India,2020/12/08,LCD TV,10,190000
1000466,64,North India,2020/05/29,Apple IPhone,5,25000
1000467,85,Central India,2019/11/22,Projector,4,76000
1000468,13,North India,2020/04/30,LCD TV,9,45000
1000469,73,Northeast India,2019/09/16,Projector,3,66687
1000470,12,Central India,2019/06/06,Apple IPAD,6,30000
1000471,15,Central India,2020/07/31,Camera,3,75000
1000472,99,North India,2019/08/12,LCD Monitor,12,60000
1000473,56,East India,2019/05/06,Projector,1,62500
1000474,79,Northeast India,2019/05/27,Blue-Ray Player,1,35000
1000475,65,Central India,2019/08/19,Blue-Ray Player,6,114000
1000476,90,Northeast India,2020/07/24,LCD TV,7,366800
1000477,59,South India,2020/06/04,Apple IPAD,12,228000
1000478,47,East India,2020/11/18,LCD TV,2,104800
1000479,54,Western India,2019/10/03,Digital Camera,1,5000
